,War or conflict,Start date,End date,Duration
216,First Sudanese Civil War,18 August 1955,27 March 1972,"16 years, 7 months, 1 week and 2 days"
217,Bolivian War of Independence,1809,1825,16 years
218,Chilean War of Independence,1810,1821 or 1826,11–16 years
219,Polish–Ottoman War (1683–1699),1683,1699,16 years
220,Western Sahara War,30 October 1975,6 September 1991,"15 years, 10 months and 1 week"
221,Great Turkish War,14 July 1683,26 January 1699,"15 years, 6 months, 1 week and 5 days"
222,Lebanese Civil War,13 April 1975,13 October 1990,15 years and 6 months
223,Rhodesian Bush War,4 July 1964,12 December 1979,"15 years, 5 months, 1 week and 1 day"
224,Morean War,1684,1699,15 years
225,War on terror,11 September 2001,Ongoing[27],"20 years, 8 months and 2 weeks"
226,Insurgency in the Maghreb (2002–present),11 April 2002,Ongoing,"20 years, 1 month and 2 weeks"
227,War in Darfur,26 February 2003,Ongoing,"19 years, 2 months, 4 weeks and 1 day"
228,Conflict in the Niger Delta,2003,Ongoing,19 years
229,Insurgency in Khyber Pakhtunkhwa,16 March 2004,Ongoing,"18 years, 2 months, 1 week and 2 days"
230,Iran–PJAK conflict,1 April 2004,Ongoing,"18 years, 1 month, 3 weeks and 3 days"
231,Kivu conflict,2004,Ongoing,18 years
232,Sistan and Baluchestan insurgency,2004,Ongoing,18 years
233,Insurgency in Paraguay,27 August 2005,Ongoing,"16 years, 8 months and 4 weeks"
234,Jewish–Babylonian War,601 BC,586 BC,15 years
235,Cambodian–Vietnamese War,30 April 1977,23 October 1991,"14 years, 5 months, 3 weeks and 2 days"
236,Third Indochina War,1978,1992,14 years
237,Dhofar Rebellion,1962,1976,14 years
238,Years of Lead (Italy),1968,1982,14 years
239,Taiping Rebellion,1850,1864,14 years
240,Russo-Turkish War (1686–1700),1686,1700,14 years
241,Abyssinian–Adal war,1529,1543,14 years
242,Marcomannic Wars,166,180,14 years
243,Second Sino-Japanese War,18 September 1931,9 September 1945,"13 years, 11 months, 3 weeks and 1 day"
244,Portuguese Colonial War,4 February 1961,25 April 1974,"13 years, 2 months and 3 weeks"
245,Angolan War of Independence,4 February 1961,25 April 1974,"13 years, 2 months and 3 weeks"
246,Darul Islam rebellion,August 1949,September 1962,"13 years, 3 weeks and 5 days"
247,War of the Spanish Succession,9 July 1702,11 July 1715,13 years and 2 days
248,Peruvian War of Independence,1811,1824,13 years
249,Venezuelan War of Independence,1810,1823,13 years
250,Wars of Alexander the Great,336 BC,323 BC,13 years
251,Napoleonic Wars,18 May 1803,20 November 1815,"12 years, 6 months and 2 days[28]"
252,Burundian Civil War,21 October 1993,15 April 2006,"12 years, 5 months, 3 weeks and 4 days"
253,Haitian Revolution,21 August 1791,1 January 1804,"12 years, 4 months, 1 week and 4 days"
254,Malayan Emergency,16 June 1948,12 July 1960,"12 years, 3 weeks and 5 days"
255,Salvadoran Civil War,15 October 1979,16 January 1992,"12 years, 3 months and 1 day"
256,Iraqi no-fly zones conflict,1991,2003,12 years
257,Wars of the Three Kingdoms,1639,1651,12 years
258,Cimbrian War,113 BC,101 BC,12 years
259,Sino-Vietnamese conflicts (1979–1991),1979,1991,12 years
260,Guinea-Bissau War of Independence,23 January 1963,10 September 1974,"11 years, 7 months, 2 weeks and 4 days"
261,Mexican War of Independence,16 September 1810,27 September 1821,"11 years, 1 week and 4 days"
262,Dano-Swedish War (1501–1512),1501,1512,11 years
263,Pool Department insurgency,1997,2008,11 years
264,Insurgency in Punjab,1984,1995,11 years
265,Queen Anne's War,1702,1713,11 years
266,Syrian civil war,15 March 2011,Ongoing,"11 years, 2 months, 1 week and 3 days"
267,Sierra Leone Civil War,23 March 1991,18 January 2002,"10 years, 9 months, 3 weeks and 5 days"
268,Nepalese Civil War,13 February 1996,21 November 2006,"10 years, 9 months, 1 week and 1 day"
269,Houthi insurgency in Yemen,18 June 2004,6 February 2015,"10 years, 7 months, 2 weeks and 5 days"
270,Yugoslav Wars,31 March 1991,12 November 2001,"10 years, 7 months, 1 week and 5 days"
271,Algerian Civil War,26 December 1991,8 February 2002,"10 years, 1 month, 1 week and 6 days"
272,Somaliland War of Independence,6 April 1981,18 May 1991,"10 years, 1 months, 1 week and 5 days"
273,Soviet–Afghan War,24 December 1979,15 February 1989,"9 years, 1 month, 3 weeks and 1 day"
274,American Revolutionary War,19 April 1775,3 September 1783,"8 years, 4 months, 2 weeks and 1 day"
275,Russo-Ukrainian War,20 February 2014,Ongoing,"8 years, 3 months and 5 days"
276,War in Donbas,6 April 2014,Ongoing,"8 years, 1 month, 2 weeks and 5 days"
277,Iran–Iraq War,22 September 1980,20 August 1988,"7 years, 10 months, 4 weeks and 1 day"
278,Yemeni Civil War,16 September 2014,Ongoing,"7 years, 8 months, 1 week and 2 days"
279,World War II,1 September 1939,2 September 1945,6 years and 1 day
280,World War I,28 July 1914,11 November 1918,"4 years, 3 months and 2 weeks"
281,American Civil War,12 April 1861,9 April 1865,"3 years, 11 months, and 4 weeks"
282,Gulf War,2 August 1990,28 February 1991,"6 months, 3 weeks and 5 days"
283,Insurgency of Ilinden–Preobrazhenie,2 August 1903,November 1903,3 months
284,Turkish-Cypriot War of 1974,20 July 1974,18 August 1974,4 weeks and 1 day
285,Indo-Pakistani War of 1971,3 December 1971,16 December 1971,1 week and 6 days
286,Russo-Georgian War,1 August 2008,12 August 2008,1 week and 4 days
287,Anglo-Zanzibar war,09:02 27 August 1896,09:40 27 August 1896,38 minutes
