,Date,Open,High,Low,Close*,Adj Close**,Volume
2494,"Jun 26, 2012",12503.57,12576.41,12452.03,12534.67,12534.67,109270000
2495,"Jun 25, 2012",12639.80,12639.87,12458.01,12502.66,12502.66,134090000
2496,"Jun 22, 2012",12574.82,12674.08,12574.67,12640.78,12640.78,209990000
2497,"Jun 21, 2012",12823.10,12857.39,12561.46,12573.57,12573.57,146750000
2498,"Jun 20, 2012",12837.10,12877.18,12744.92,12824.39,12824.39,119110000
2499,"Jun 19, 2012",12744.62,12898.94,12744.47,12837.33,12837.33,125180000
2500,"Jun 18, 2012",12767.02,12781.93,12696.18,12741.82,12741.82,111280000
2501,"Jun 15, 2012",12652.21,12774.70,12651.38,12767.17,12767.17,284290000
2502,"Jun 14, 2012",12497.89,12698.68,12497.66,12651.91,12651.91,128640000
2503,"Jun 13, 2012",12566.38,12598.25,12453.69,12496.38,12496.38,125780000
2504,"Jun 12, 2012",12412.07,12577.02,12411.91,12573.80,12573.80,111360000
2505,"Jun 11, 2012",12553.81,12650.47,12398.48,12411.23,12411.23,121060000
2506,"Jun 08, 2012",12460.81,12554.20,12398.44,12554.20,12554.20,111810000
2507,"Jun 07, 2012",12416.53,12555.26,12416.53,12460.96,12460.96,131150000
2508,"Jun 06, 2012",12125.00,12414.79,12125.00,12414.79,12414.79,140110000
2509,"Jun 05, 2012",12101.08,12147.55,12072.17,12127.95,12127.95,108970000
2510,"Jun 04, 2012",12119.85,12143.69,12035.09,12101.46,12101.46,126440000
2511,"Jun 01, 2012",12391.56,12391.63,12107.48,12118.57,12118.57,162940000
2512,"May 31, 2012",12414.41,12489.87,12316.48,12393.45,12393.45,205140000
2513,"May 30, 2012",12579.02,12579.10,12396.40,12419.86,12419.86,122830000
2514,"May 29, 2012",12454.83,12611.61,12454.60,12580.69,12580.69,107510000
