Date,EUR,NIKKEI,S&P,SSE,Average,S&P Adjusted,EUR Adjusted,NIKKEI Adjusted,SSE Adjusted
1994-05-23,,193.04660967238044,40.00035304812928,,619385.0040942379,291482.57266171806,0.0,947287.4355267577,0.0
1994-05-20,,190.9204202761485,40.15216374372236,,614721.4781561883,292588.8172005048,0.0,936854.1391118717,0.0
1994-05-19,,189.7863756111881,40.289852514144,,612440.7459248459,293592.15527056734,0.0,931289.3365791244,0.0
1994-05-18,,189.14244574725964,40.04360144396685,,609963.6353509097,291797.7237221864,0.0,928129.5469796329,0.0
1994-05-17,,188.96223410601925,39.66230946433773,,608132.2451571149,289019.24906662904,0.0,927245.2412476008,0.0
1994-05-16,,189.477590633919,39.23159074660853,,607827.3590574011,285880.6017705364,0.0,929774.1163442659,0.0
1994-05-13,,190.25011216366025,39.20069903529598,,609610.2021308846,285655.4938702018,0.0,933564.9103915674,0.0
1994-05-12,,189.8135970767392,39.16627684269058,,608413.7863760643,285404.65935268626,0.0,931422.9133994423,0.0
1994-05-11,,189.11804723738305,38.96680464964387,,605980.4639988416,283951.1054819549,0.0,928009.8225157282,0.0
1994-05-10,,186.93732325174355,39.365749035737295,,602083.5679563266,286858.2132234177,0.0,917308.9226892357,0.0
1994-05-09,,185.7095340740952,39.04006213647075,,597884.5224357052,284484.9327884624,0.0,911284.1120829481,0.0
1994-05-06,,186.4182272038857,39.52550331423932,,601392.0201347086,288022.34265086195,0.0,914761.6976185553,0.0
1994-05-05,,,39.83971614930405,,290312.0115799786,290312.0115799786,0.0,0.0,0.0
1994-05-04,,,39.86972524029338,,290530.68782601785,290530.68782601785,0.0,0.0,0.0
1994-05-03,,,39.98534850263462,,291373.2345386985,291373.2345386985,0.0,0.0,0.0
1994-05-02,,183.67523776974167,39.984465882311405,,596334.2708150182,291366.8028844032,0.0,901301.7387456332,0.0
1994-04-29,,,39.79823299411292,,290009.7238281009,290009.7238281009,0.0,0.0,0.0
1994-04-28,,185.1303491462447,39.63847871561091,,598643.8114376226,288845.5944006567,0.0,908442.0284745885,0.0
1994-04-26,,184.22633966649485,39.88296454514162,,597316.5902187619,290627.162640447,0.0,904006.0177970768,0.0
1994-04-25,,184.97915541139835,39.95710465229172,,599433.768185599,291167.4216012498,0.0,907700.1147699482,0.0
1994-04-22,,187.3747915437454,39.50873352809822,,603677.8691580361,287900.14121925173,0.0,919455.5970968205,0.0
1994-04-21,,185.82589898560084,39.60582176365193,,600231.3712750173,288607.62319173163,0.0,911855.1193583028,0.0
1994-04-20,,186.6032048986864,39.00828780483499,,599961.3918999414,284253.3932338326,0.0,915669.3905660502,0.0
1994-04-19,,189.51419755893323,39.05947978358149,,607290.088586273,284626.4291829583,0.0,929953.7479895877,0.0
1994-04-18,,190.31214412276796,39.05241882099577,,609222.1398223918,284574.97594859614,0.0,933869.3036961873,0.0
1994-04-15,,189.25413626351047,39.38075358123197,,607822.5840784669,286967.55134643737,0.0,928677.6168104964,0.0
1994-04-14,,187.5888604640762,39.39840598769627,,603801.1131419915,287096.1844323427,0.0,920506.0418516404,0.0
1994-04-13,,188.2759780584354,39.38781454381768,,605448.3799763322,287019.00458079943,0.0,923877.7553718649,0.0
1994-04-12,,184.40842105832888,39.50343780615893,,596380.5248817711,287861.5512934801,0.0,904899.4984700622,0.0
1994-04-11,,186.75243721524825,39.70644048049851,,602871.2556470522,289340.8317813926,0.0,916401.6795127117,0.0
1994-04-08,,187.09885564174843,39.4619546509678,,602830.4160649438,287559.26354160235,0.0,918101.5685882852,0.0
1994-04-07,,186.6858041894072,39.79558513314328,,603032.5687274019,289990.42886521504,0.0,916074.7085895888,0.0
1994-04-06,,184.8627721607232,39.54580358167327,,597649.6441016041,288170.27069965313,0.0,907129.0175035552,0.0
1994-04-05,,183.60953961919736,39.56698646943045,,594651.992847863,288324.6304027397,0.0,900979.3552929863,0.0
1994-04-04,,179.47064778382725,38.73997122657747,,581483.9089146109,282298.17032807,0.0,880669.6475011517,0.0
1994-03-31,,179.37397031798986,39.34456614798012,,583449.55041476,286703.8535203311,0.0,880195.2473091889,0.0
1994-03-30,,183.57856029451884,39.32514850086938,,593694.8478167255,286562.3571258352,0.0,900827.3385076157,0.0
1994-03-29,,184.984783011734,39.936804384857766,,599373.6115911789,291019.49355245853,0.0,907727.7296298993,0.0
1994-03-28,,187.16266571191517,40.60053486791587,,607135.3923687496,295856.09758250293,0.0,918414.6871549962,0.0
1994-03-25,,186.1742971601695,40.65172684666237,,604896.9283342334,296229.1335316287,0.0,913564.7231368381,0.0
1994-03-24,,188.0647137827659,40.98447470851464,,610747.4701607649,298653.8672009462,0.0,922841.0731205835,0.0
1994-03-23,,187.35328932745009,41.354292623941966,,610349.4076060179,301348.7303506651,0.0,919350.0848613706,0.0
1994-03-22,,190.08848811534992,41.37724075234557,,617143.8840419444,301515.9533623422,0.0,932771.8147215466,0.0
1994-03-21,,,41.354292623941966,,301348.7303506651,301348.7303506651,0.0,0.0,0.0
1994-03-18,,192.1149937640737,41.57671294539228,,622842.7331165668,302969.5072330735,0.0,942715.9590000601,0.0
1994-03-17,,193.26669113728187,41.56259102022083,,625616.9924213184,302866.60076434916,0.0,948367.3840782876,0.0
1994-03-16,,194.0701736525322,41.43196321238493,,627112.4104242853,301914.71592864895,0.0,952310.1049199216,0.0
1994-03-15,,192.48478415746283,41.21925171448998,,622447.6112477625,300364.68724348844,0.0,944530.5352520364,0.0
1994-03-14,,192.64715978323,41.252791286772165,,622968.2045247048,300609.09010670875,0.0,945327.3189427009,0.0
1994-03-11,,188.79124293741515,41.16894235606669,,613202.1318461358,299998.082948658,0.0,926406.1807436136,0.0
1994-03-10,,188.56036453521332,40.94475679396993,,611818.846973266,298364.4427576589,0.0,925273.2511888732,0.0
1994-03-09,,186.19963054534296,41.22366481610605,,607042.9402930923,300396.8455149648,0.0,913689.0350712197,0.0
1994-03-08,,186.7553518386136,41.11951561796662,,608026.9459971366,299637.91030812275,0.0,916415.9816861504,0.0
1994-03-07,,185.94341874858227,41.210425511257824,,606366.0821182894,300300.3707005358,0.0,912431.7935360431,0.0
1994-03-04,,187.3898962524643,41.01889690112005,,609217.2091125771,298904.7017184618,0.0,919529.7165066923,0.0
1994-03-03,,184.0098143955552,40.86620358520376,,600367.7725784725,297792.0255253798,0.0,902943.5196315652,0.0
1994-03-02,,185.3135487299864,41.02507524338255,,604145.3597292606,298949.72329852864,0.0,909340.9961599924,0.0
1994-03-01,,189.7420696888497,40.992418291423576,,614891.8388677883,298711.7520896036,0.0,931071.9256459731,0.0
1994-02-28,,187.68271496485372,41.23072577869178,,610707.4441952314,300448.29874932696,0.0,920966.5896411358,0.0
1994-02-25,,185.86364242292132,41.13628540410772,,605900.2198273523,299760.1117397329,0.0,912040.3279149719,0.0
1994-02-24,,185.5079302046489,40.976531125605696,,604445.4080718545,298595.9823122887,0.0,910294.8338314203,0.0
1994-02-23,,181.5317806094968,41.5440559934333,,596757.6223730869,302731.53602414846,0.0,890783.7087220252,0.0
1994-02-22,,181.53929629959555,41.6120177583209,,597023.6809594259,303226.77340488444,0.0,890820.5885139673,0.0
1994-02-18,,177.94437562450028,41.27926989646864,,586991.1043500074,300802.039735567,0.0,873180.1689644478,0.0
1994-02-17,,177.6796216134241,41.51316428212076,,587193.7192828753,302506.428123814,0.0,871881.0104419366,0.0
1994-02-16,,178.81262141499812,41.729406261308576,,590761.434607204,304082.1834261556,0.0,877440.6857882524,0.0
1994-02-15,,178.08515737566665,41.70557551258175,,588889.7597044373,303908.52876018325,0.0,873870.9906486913,0.0
1994-02-14,,182.63381942556177,41.50345545856539,,599313.5686002873,302435.679926566,0.0,896191.4572740087,0.0
1994-02-11,,,41.49904235694931,,302403.52165508963,302403.52165508963,0.0,0.0,0.0
1994-02-10,,187.62170953934836,41.38871481654737,,611133.3992230723,301599.56486818066,0.0,920667.233577964,0.0
1994-02-09,,186.22028952587607,41.72764102066214,,608929.86481631,304069.32011756505,0.0,913790.4095150549,0.0
1994-02-08,,190.06691257991852,41.57583032506906,,617814.5091424708,302963.0755787783,0.0,932665.9427061634,0.0
1994-02-07,,187.84415570593865,41.63849636801737,,612589.2544245059,303419.7230337426,0.0,921758.7858152692,0.0
1994-02-04,,190.53805484378535,41.46638540499033,,618571.7035434064,302165.55044616456,0.0,934977.8566406484,0.0
1994-02-03,,189.34976887534708,42.4284415572953,,619161.471745047,309176.05362801085,0.0,929146.8898620831,0.0
1994-02-02,,190.05563904007775,42.5422995789901,,621308.180013662,310005.73703210085,0.0,932610.6229952232,0.0
1994-02-01,,191.61653837635043,42.3322359420648,,624372.5108920564,308475.0033098262,0.0,940270.0184742867,0.0
1994-01-31,,189.85938781482167,42.5078773863847,,620701.2564487138,309754.9025145853,0.0,931647.6103828425,0.0
1994-01-28,,176.05115436662808,42.251034872328965,,585886.6738189398,307883.29111466114,0.0,863890.0565232186,0.0
1994-01-27,,177.30794313027195,42.1054025189984,,588439.6187069556,306822.0681559414,0.0,870057.1692579697,0.0
1994-01-26,,179.62072333615134,41.76559369456041,,592875.9777458449,304345.8812522617,0.0,881406.074239428,0.0
1994-01-25,,175.0232459461044,41.564356260867264,,580862.766430156,302879.46407293977,0.0,858846.0687873721,0.0
1994-01-24,,172.25341998125882,41.6570313948049,,574404.6048793897,303554.78777394333,0.0,845254.4219848362,0.0
1994-01-21,,181.2089174664965,41.89975198368918,,597261.4495349701,305323.49270514306,0.0,889199.406364797,0.0
1994-01-20,,180.04972272358825,41.922700112092784,,594500.9535551883,305490.7157168201,0.0,883511.1913935564,0.0
1994-01-19,,178.69334188012712,41.86268193011413,,590954.3697821003,305053.36322474165,0.0,876855.376339459,0.0
1994-01-18,,173.76739206714277,41.85826882849805,,578852.3742612088,305021.20495326526,0.0,852683.5435691522,0.0
1994-01-17,,175.746017260397,41.77441989779257,,583401.4671663365,304410.1977952144,0.0,862392.7365374585,0.0
1994-01-14,,178.0767068102711,41.91652176983028,,589637.608761513,305445.69413675327,0.0,873829.5233862727,0.0
1994-01-13,,174.35594411528697,41.70116241096567,,579723.9812500924,303876.37048870686,0.0,855571.5920114778,0.0
1994-01-12,,176.38903056942726,41.85120786591232,,585258.8901421528,304969.7517189031,0.0,865548.0285654024,0.0
1994-01-11,,173.492391049828,41.84767738461946,,578139.063839435,304944.025101722,0.0,851334.102577148,0.0
1994-01-10,,173.09998024823585,41.94829610146604,,577542.8803843432,305677.23369138304,0.0,849408.5270773033,0.0
1994-01-07,,170.10198886754432,41.47432898789927,,568460.3493937083,302223.435334822,0.0,834697.2634525946,0.0
1994-01-06,,167.8305266321166,41.22896053804535,,561993.271422799,300435.4354407365,0.0,823551.1074048615,0.0
1994-01-05,,166.90596815053766,41.26691321194362,,559863.1292644237,300711.9965754331,0.0,819014.2619534143,0.0
1994-01-04,,163.0228298297864,41.20866027061139,,550123.5271399501,300287.50739194517,0.0,799959.546887955,0.0
1994-01-03,,,41.080680323745135,,299354.9175191308,299354.9175191308,0.0,0.0,0.0
1993-12-31,,,41.169824976389904,,282383.82951305836,282383.82951305836,0.0,0.0,0.0
1993-12-30,,163.46863870847977,41.36311882717411,,505910.9172262877,283709.6320355872,0.0,728112.2024169882,0.0
1993-12-29,,162.1057687085222,41.53434716987793,,503462.93793678493,284884.08723819273,0.0,722041.7886353771,0.0
1993-12-28,,160.78412503009625,41.56612150151369,,500628.5150202177,285102.0273788824,0.0,716155.002661553,0.0
1993-12-27,,157.8621521159381,41.53081668858507,,493999.9989463448,284859.871667005,0.0,703140.1262256845,0.0
1993-12-23,,,41.25190866644896,,282946.8415431734,282946.8415431734,0.0,0.0,0.0
1993-12-22,,163.7361240356958,41.24661294450966,,506107.0688493729,282910.51818639174,0.0,729303.6195123541,0.0
1993-12-21,,162.51310091160775,41.06832363922012,,502771.86756791966,281687.63184141077,0.0,723856.1032944286,0.0
1993-12-20,,163.34662785746897,41.116867756996974,,504794.6724751546,282020.59594524227,0.0,727568.7490050669,0.0
1993-12-17,,169.4253015772637,41.1636466341274,,518492.7325154166,282341.4522634799,0.0,754644.0127673533,0.0
1993-12-16,,166.96039276124117,40.89533005586986,,512083.01633338304,280501.0688532114,0.0,743664.9638135547,0.0
1993-12-15,,164.14354789708682,40.76293700738753,,505355.6636820007,279592.9849336711,0.0,731118.3424303303,0.0
1993-12-14,,162.45022572612328,40.87061668681983,,501953.804135326,280331.5598548972,0.0,723576.0484157548,0.0
1993-12-13,,162.62479142785855,41.10362845214874,,503141.6880218851,281929.7875532882,0.0,724353.588490482,0.0
1993-12-10,,161.96874480709792,40.94740465493958,,501144.8567616589,280858.2485282306,0.0,721431.4649950872,0.0
1993-12-09,,160.13370600028583,40.96947016301997,,497133.77054613363,281009.595848154,0.0,713257.9452441132,0.0
1993-12-08,,154.93453328104573,41.15570305121846,,486193.5346483722,282286.9672283074,0.0,690100.102068437,0.0
1993-12-07,,158.64686373103294,41.19718620640958,,494603.42090435326,282571.5001897633,0.0,706635.3416189431,0.0
1993-12-06,,158.05455384253207,41.16805973574348,,493184.4160898202,282371.7217274646,0.0,703997.1104521758,0.0
1993-12-03,,163.86385414534777,41.03213620596828,,505655.9847698479,281439.4222367364,0.0,729872.5473029594,0.0
1993-12-02,,163.8582265450121,40.87502978843591,,505104.65525104105,280361.8293188819,0.0,729847.4811832001,0.0
1993-12-01,,160.72874720492652,40.76735010900361,,497765.7982365036,279623.2543976557,0.0,715908.3420753515,0.0
1993-11-30,,153.98275332453036,40.758523905771455,,482711.72818130505,279562.71546968643,0.0,685860.7408929237,0.0
1993-11-29,,150.90592965367398,40.768232729326826,,475892.7228990341,279629.3082904527,0.0,672156.1375076155,0.0
1993-11-26,,156.98450255496394,40.87061668681983,,489781.25603253214,280331.5598548972,0.0,699230.9522101671,0.0
1993-11-24,,160.18250301065368,40.808833264194746,,496691.54065949237,279907.78735911177,0.0,713475.293959873,0.0
1993-11-23,,,40.691444761207066,,279102.61961711926,279102.61961711926,0.0,0.0,0.0
1993-11-22,,163.16454646563494,40.52374689979612,,502355.0564900724,277952.3799857016,0.0,726757.7329944433,0.0
1993-11-19,,168.3861379466832,40.83001615195192,,515034.25663003884,280053.0807862382,0.0,750015.4324738395,0.0
1993-11-18,,170.49909239417534,40.920043424919896,,520048.7026240588,280670.57785152557,0.0,759426.8273965921,0.0
1993-11-17,,169.95840248110215,41.02507524338255,,519204.7549607687,281390.99109436094,0.0,757018.5188271764,0.0
1993-11-16,,171.24804031063272,41.19542096576316,,522661.0693366856,282559.39240416954,0.0,762762.7462692016,0.0
1993-11-15,,169.6383439639922,40.9315174891217,,518171.1059208311,280749.2784578858,0.0,755592.9333837763,0.0
1993-11-12,,173.57029761550987,41.076267222129054,,527424.2611488652,281742.1168765832,0.0,773106.4054211472,0.0
1993-11-11,,170.4258785441469,40.83354663324478,,519589.0095080263,280077.2963574259,0.0,759100.7226586266,0.0
